stdr_yyqu_cd,trdar_se_cd,trdar_se_cd_nm,trdar_cd,trdar_cd_nm,svc_induty_cd,svc_induty_cd_nm,stor_co,similr_induty_stor_co,opbiz_rt,opbiz_stor_co,clsbiz_rt,clsbiz_stor_co,frc_stor_co
20251,A,골목상권,3110003,세검정초등학교,CS200033,부동산중개업,9,9,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200035,게스트하우스,1,1,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200041,사진관,2,2,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200042,통번역서비스,1,1,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS200044,여행사,2,2,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS300001,슈퍼마켓,2,3,0,0,0,0,1
20251,A,골목상권,3110003,세검정초등학교,CS300002,편의점,2,4,0,0,0,0,2
20251,A,골목상권,3110003,세검정초등학교,CS300005,주류도매,2,2,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS300006,미곡판매,1,1,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS300007,육류판매,2,2,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS300008,수산물판매,1,1,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS300010,반찬가게,4,4,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS300011,일반의류,11,11,0,0,9,1,0
20251,A,골목상권,3110003,세검정초등학교,CS300018,의약품,1,1,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS300019,의료기기,1,1,0,0,0,0,0
20251,A,골목상권,3110003,세검정초등학교,CS300020,서적,1,1,0,0,0,0,0
