기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20254,R,전통시장,3130239,양남시장,20759,9868,10892,1383,3489,5183,3922,3262,3519,4359,4511,3333,3271,3275,2012,3128,3112,3144,3103,3074,2671,2526
20254,R,전통시장,3130238,은행나무시장,447291,215127,232164,60790,56092,62889,69372,81060,117088,113080,85089,52555,55289,82780,58498,62468,61584,60866,62276,62849,67718,69531
20254,R,전통시장,3130237,박미시장(기능상실),5729,3287,2443,545,579,1016,1160,1085,1344,1269,1391,647,638,958,827,863,893,893,873,865,699,644
20254,R,전통시장,3130236,비단길현대시장(현대시장),536034,261878,274157,58328,70282,90284,81696,91783,143660,149639,103790,59197,58391,89820,75196,74585,74424,74569,75376,76439,79792,80848
20254,R,전통시장,3130235,대명여울빛거리시장(대명시장),215736,105800,109936,20766,28870,35677,34659,40331,55432,23076,34375,34174,40906,55912,27293,30176,30258,31401,31360,32173,32130,28237
20254,R,전통시장,3130234,푸른터시장(기능상실),29373,14055,15318,5541,2866,4987,6043,4266,5669,9087,5669,2740,2845,4670,4360,4039,4101,4107,4186,4159,4355,4425
20254,R,전통시장,3130233,남문시장,162814,81481,81333,14390,21840,25592,26553,29287,45151,46028,32878,17273,17986,26177,22470,23316,22857,22398,22568,23139,23897,24637
20254,R,전통시장,3130232,독산동 맛나는거리상점가(독산동 맛나는거리),162027,79515,82512,13162,20835,30127,25230,31497,41176,40833,30080,18722,19804,30271,22317,22433,22069,22320,22613,22664,25099,24826
20254,R,전통시장,3130231,독산동 우시장,186854,98388,88465,20097,31160,40820,30987,28910,34881,43998,40224,24967,24150,30591,22924,27173,26859,27034,27530,27359,25667,25233
20254,R,전통시장,3130230,가리봉시장,131161,69033,62128,3251,26988,28943,23381,24427,24170,28427,27116,18076,18249,24436,14858,18463,18676,18661,18806,18321,18624,19610
20254,R,전통시장,3130229,남구로시장,746396,355050,391345,56952,64018,103922,133642,158654,229209,166260,145618,100098,106597,135328,92495,107290,106094,105302,105898,105480,106666,109666
20254,R,전통시장,3130228,구로시장,967003,501931,465070,67637,103568,143665,194035,200881,257215,163408,183999,160024,176260,184691,98621,145282,142560,141605,141210,141201,127295,127850
